word,freq,hatebase,terms
mestizo,12,True,False
casado,12,True,False
coon,12,True,False
meid,12,True,False
zhyd,12,True,False
gopnik,12,True,False
spook,11,True,False
polacks,11,True,False
shiner,11,True,False
bule,11,True,False
lugan,11,True,False
disminuido,11,True,False
pegas,11,True,False
ewu,11,True,False
perek,11,True,False
suka,11,True,False
kalla,11,True,False
moke,11,True,False
incapaz,10,True,False
coconuts,10,True,False
faggots,10,True,True
slet,10,True,False
bydlo,10,True,False
kuni,10,True,False
afs,10,True,False
sluts,9,True,True
wops,9,True,False
tugo,9,True,False
kurwa,9,True,False
paddies,9,True,False
chapin,9,True,False
shvartz,9,True,False
fryc,9,True,False
levis,9,True,False
pakis,9,True,False
muslimy,8,True,False
nanda,8,True,False
kossa,8,True,False
zhidovka,8,True,True
tarded,8,True,False
gaylord,8,True,False
impedido,8,True,False
nips,8,True,False
pega,8,True,False
khokhols,8,True,True
brudas,8,True,False
figa,8,True,False
bananen,8,True,False
tziganes,8,True,False
skeet,8,True,False
globalists,7,True,False
parch,7,True,False
palla,7,True,False
bohunk,7,True,False
kalmuk,7,True,False
niaks,7,True,False
chale,7,True,False
senga,7,True,False
bungs,7,True,False
nigra,7,True,False
shyster,7,True,False
bicha,6,True,False
putain,6,True,False
jocks,6,True,False
buzi,6,True,False
krauts,6,True,False
buffy,6,True,False
cracker,6,True,False
balli,6,True,False
septic,6,True,False
vaco,6,True,False
cholos,6,True,False
gubs,6,True,False
sopa,6,True,False
spide,6,True,False
skags,6,True,False
tattare,6,True,False
bahadur,6,True,False
itzig,6,True,False
dink,6,True,False
albinos,6,True,False
gash,6,True,False
bint,6,True,False
youpin,6,True,False
abbo,6,True,False
onta,5,True,False
mulata,5,True,False
asfalt,5,True,False
hillbilly,5,True,False
negritude,5,True,False
lutka,5,True,False
chunky,5,True,False
okoro,5,True,False
schwuler,5,True,False
feminazis,5,True,True
tsigane,5,True,False
trut,5,True,False
schwartze,5,True,False
zebras,5,True,False
spivs,5,True,False
munters,5,True,False
kulas,5,True,False
labu,5,True,False
pocha,5,True,False
neches,5,True,False
farang,5,True,False
pollo,5,True,False
lesb,5,True,False
plebejer,5,True,False
dresiarz,5,True,False
cocksucker,5,True,False
charva,5,True,False
munts,5,True,False
lowlander,5,True,False
homos,5,True,False
maho,5,True,False
stovepipe,4,True,False
lefties,4,True,False
knacker,4,True,False
hillbillies,4,True,False
brudasy,4,True,False
pizd,4,True,False
dagar,4,True,False
mutts,4,True,False
muts,4,True,False
khakhly,4,True,False
szwaby,4,True,False
katol,4,True,False
bimbo,4,True,False
neres,4,True,False
dhimmis,4,True,False
ikes,4,True,False
marron,4,True,False
ibne,4,True,False
lofan,4,True,False
wop,4,True,False
dhimmi,4,True,False
honky,4,True,False
jincho,4,True,False
alman,4,True,False
spick,4,True,False
bosche,4,True,False
чернильница,4,True,False
debiel,4,True,False
bumblebees,4,True,False
buco,3,True,False
boche,3,True,False
moky,3,True,False
darkey,3,True,False
squinty,3,True,False
toffs,3,True,False
guineas,3,True,False
albino,3,True,False
chug,3,True,False
yob,3,True,False
hadjis,3,True,False
doos,3,True,False
millie,3,True,False
bife,3,True,False
azn,3,True,False
muslima,3,True,False
balija,3,True,False
troia,3,True,False
rapaille,3,True,False
nacho,3,True,False
aruna,3,True,False
jant,3,True,False
paleface,3,True,False
shysters,3,True,False
stovepipes,3,True,False
youpins,3,True,False
bydła,3,True,False
srac,3,True,False
tards,3,True,False
spiv,3,True,False
fashisty,3,True,False
moher,3,True,False
shiners,3,True,False
darkies,3,True,False
pogue,3,True,False
schwul,3,True,False
yobs,3,True,False
mook,3,True,False
konus,3,True,False
spastic,3,True,False
gipps,3,True,False
bambus,3,True,False
kuffar,3,True,False
fud,3,True,False
vacca,2,True,False
nigga,2,True,False
pedestre,2,True,False
rital,2,True,False
mollo,2,True,False
psico,2,True,False
marrano,2,True,False
spik,2,True,False
jants,2,True,False
kenau,2,True,False
buffie,2,True,False
zingari,2,True,False
komunjara,2,True,False
biba,2,True,False
sudaca,2,True,False
coons,2,True,False
teef,2,True,False
jocky,2,True,False
pepik,2,True,False
chavs,2,True,False
pohm,2,True,False
szwab,2,True,False
divvy,2,True,False
redskins,2,True,True
boonies,2,True,False
octaroon,2,True,False
piky,2,True,False
gottlos,2,True,False
kanaka,2,True,False
fruity,2,True,False
pankhart,2,True,False
gipp,2,True,False
suczka,2,True,False
rednecks,2,True,False
fags,2,True,False
meki,2,True,False
pintos,2,True,False
hebros,2,True,False
cocolo,2,True,False
mungs,2,True,False
greasers,2,True,False
brudasi,2,True,False
macaca,2,True,False
lijp,2,True,False
giaours,2,True,False
brownies,2,True,False
shkutzim,2,True,False
pussies,2,True,False
hatzi,2,True,False
hoer,2,True,False
redskin,2,True,False
spides,2,True,False
nègre,2,True,False
chuj,2,True,False
nigre,2,True,False
shiksa,2,True,False
clochards,2,True,False
leprechauns,2,True,False
chele,2,True,False
piker,2,True,False
mojado,2,True,False
nègres,2,True,False
arsit,2,True,False
baranga,2,True,False
squaw,2,True,False
bridé,2,True,False
suntan,2,True,False
abeed,1,True,False
jareer,1,True,False
koszerne,1,True,False
gimps,1,True,False
zingaro,1,True,False
pizdo,1,True,False
poms,1,True,False
czarnuchy,1,True,False
kurwy,1,True,False
pommy,1,True,False
knackers,1,True,False
sopade,1,True,False
jigger,1,True,False
sopor,1,True,False
hoser,1,True,False
bridée,1,True,False
czarnuch,1,True,False
kitajca,1,True,False
خول,1,True,False
flittchen,1,True,False
negermusik,1,True,False
szmatami,1,True,False
bohunks,1,True,False
smick,1,True,False
lutkan,1,True,False
mullatoes,1,True,False
abos,1,True,False
mochs,1,True,False
mokes,1,True,False
palefaces,1,True,False
leprechaun,1,True,False
eurotrash,1,True,False
scally,1,True,False
kossan,1,True,False
goober,1,True,False
cheena,1,True,False
hoosier,1,True,False
cafres,1,True,False
koszerna,1,True,False
szmata,1,True,False
albos,1,True,False
szkopa,1,True,False
ocker,1,True,False
moffie,1,True,False
clochard,1,True,False
zigani,1,True,False
soqi,1,True,False
sambos,1,True,False
yobbo,1,True,False
twat,1,True,False
negern,1,True,False
skag,1,True,False
beaney,1,True,False
tzigane,1,True,False
darkie,1,True,True
bogan,1,True,False
banga,1,True,False
sokac,1,True,False
preta,1,True,False
simiesque,1,True,False
ciori,1,True,False
banci,1,True,False
bydle,1,True,False
maricones,1,True,False
kitajcy,1,True,False
rosbif,1,True,False
youd,1,True,False
steek,1,True,False
kaffer,1,True,False
checca,1,True,False
clams,1,True,False
lesba,1,True,False
honkies,1,True,False
bergie,1,True,False
darky,1,True,False
cocoas,1,True,False
mongoloidi,1,True,False
kreng,1,True,False
guero,1,True,False
achterlijke,1,True,False
mameluco,1,True,False
muist,1,True,False
celestials,1,True,False
lafiryndy,1,True,False
bume,1,True,False
mockey,1,True,False
chugs,1,True,False
japońca,1,True,False
mocro,1,True,False
capitalino,1,True,False
kacap,1,True,False
kacapy,1,True,False
bulangiu,1,True,False
vacii,1,True,False
curist,1,True,False
gooks,1,True,False
greaser,1,True,False
mulato,1,True,False
köylü,1,True,False
cunts,1,True,False
жидовка,1,True,False
dagos,1,True,False
lonte,1,True,False
чернилница,1,True,False
arapis,1,True,False
slyna,1,True,False
squaws,1,True,False
mocky,1,True,False
jidan,1,True,False
cwelu,1,True,False
bucker,1,True,False
lubras,1,True,False
gashes,1,True,False
parchy,1,True,False
dziwki,1,True,False
coloureds,1,True,False
bugre,1,True,False
guizi,1,True,False
kossans,1,True,False
wogs,1,True,False
